expenditure,income,maininc,region,nadults,nkids,SexHRP,housing,internet
240.3639,515.634,other so,East Mid,2 adults,No child,Male,Owned,1
458.2374,643.8,earnings,East Mid,2 adults,One chil,Male,Owned,1
673.505,575.8475,other so,Northern,2 adults,Two or m,Female,Owned,1
227.52,187.74200000000002,other so,Northern,1 adult,No child,Female,Owned,0
52.25,50.0,other so,London,1 adult,No child,Male,Public r,0
128.2807,151.425,other so,North We,1 adult,One chil,Female,Public r,1
263.1225,375.01,earnings,North We,1 adult,No child,Female,Private,0
780.5165,793.9,earnings,Yorkshir,2 adults,Two or m,Male,Owned,1
378.3123,731.84,earnings,Eastern,2 adults,One chil,Male,Private,1
554.7906,613.82,earnings,London,1 adult,No child,Male,Owned,1
237.4042,392.064,other so,Yorkshir,2 adults,No child,Male,Public r,0
857.8693,1184.99,earnings,East Mid,3 adults,No child,Male,Owned,1
330.1953,249.8125,earnings,West Mid,2 adults,No child,Female,Owned,1
441.1358,627.7125,earnings,West Mid,2 adults,Two or m,Male,Owned,1
254.4167,436.54,other so,Eastern,1 adult,No child,Male,Owned,0
707.115,1110.49,earnings,Northern,2 adults,No child,Female,Private,1
492.4653,601.712,other so,South We,1 adult,No child,Male,Owned,1
115.3741,142.842,other so,South We,1 adult,No child,Female,Owned,1
960.2805,447.49,other so,London,1 adult,Two or m,Female,Public r,1
570.6088,655.3075,earnings,Eastern,2 adults,No child,Male,Owned,1
256.2881,363.904,other so,East Mid,2 adults,No child,Male,Owned,1
199.8717,248.52,other so,South Ea,1 adult,No child,Male,Private,1
450.7663,1184.99,earnings,Scotland,4 and mo,No child,Female,Public r,1
573.4996,882.67,earnings,Scotland,2 adults,One chil,Male,Private,1
700.47,351.5195,other so,Northern,2 adults,No child,Male,Owned,1
817.4937,1127.23,earnings,Scotland,3 adults,No child,Male,Owned,1
265.1379,496.16,other so,North We,1 adult,No child,Male,Owned,1
537.71,914.145,earnings,East Mid,3 adults,One chil,Male,Public r,1
513.4421,651.814,other so,South We,2 adults,No child,Male,Owned,1
1029.5710000000001,1161.21,earnings,East Mid,2 adults,Two or m,Female,Owned,1
428.3378,696.76,earnings,West Mid,2 adults,One chil,Male,Owned,1
340.2333,355.59,other so,East Mid,1 adult,No child,Female,Public r,0
733.1168,630.025,other so,North We,2 adults,Two or m,Female,Owned,1
259.6863,683.9,earnings,North We,1 adult,No child,Male,Owned,1
80.48499,280.632,other so,Scotland,1 adult,No child,Male,Public r,0
502.0575,817.04,earnings,North We,2 adults,Two or m,Female,Owned,1
364.4777,613.119,other so,South Ea,2 adults,No child,Female,Owned,1
290.5396,354.98,other so,East Mid,2 adults,No child,Male,Owned,1
271.4123,232.1,other so,Eastern,1 adult,Two or m,Female,Public r,1
554.9008,741.5354,earnings,North Ea,2 adults,Two or m,Male,Private,1
109.0927,312.1,other so,North We,1 adult,No child,Female,Private,1
1175.0,1179.34,earnings,East Mid,3 adults,One chil,Male,Private,1
280.29,218.2845,other so,London,1 adult,No child,Female,Private,1
122.9256,159.0,other so,London,1 adult,No child,Female,Public r,1
154.2507,60.0,other so,South Ea,1 adult,No child,Female,Public r,1
440.1233,838.56,earnings,East Mid,2 adults,Two or m,Male,Owned,1
496.9973,1162.132,earnings,Eastern,2 adults,No child,Male,Private,1
521.0656,1001.084,other so,South Ea,2 adults,No child,Male,Owned,1
534.3146,390.10400000000004,other so,East Mid,2 adults,No child,Male,Owned,1
991.9122,1184.99,earnings,London,2 adults,No child,Male,Owned,1
264.945,151.0,other so,North We,1 adult,One chil,Female,Public r,1
156.5246,241.89700000000002,other so,Yorkshir,1 adult,No child,Male,Owned,0
640.9618,1083.28,earnings,Wales,2 adults,No child,Male,Owned,1
692.0307,886.75,earnings,South We,2 adults,No child,Female,Owned,1
416.6025,460.454,other so,North We,2 adults,No child,Female,Public r,1
266.5058,476.754,other so,Eastern,2 adults,No child,Male,Owned,1
181.9988,267.962,other so,Scotland,1 adult,No child,Female,Private,1
167.805,503.56,other so,North Ea,3 adults,No child,Male,Private,1
146.2627,224.31,other so,Scotland,1 adult,One chil,Female,Owned,1
205.0083,217.192,other so,North We,2 adults,No child,Female,Owned,1
758.9889999999999,443.07,earnings,East Mid,2 adults,No child,Male,Owned,1
98.555,150.282,other so,London,1 adult,No child,Female,Public r,1
425.8421,530.48,earnings,London,2 adults,No child,Female,Private,1
150.48,152.78,other so,Yorkshir,1 adult,One chil,Female,Public r,1
654.3507,703.1307,earnings,Scotland,2 adults,No child,Male,Public r,1
995.2803,1037.502,other so,South Ea,2 adults,No child,Male,Owned,1
395.1778,859.04,earnings,North We,2 adults,One chil,Female,Owned,1
727.2385,582.73,earnings,South We,2 adults,Two or m,Male,Public r,1
755.1331,1184.99,earnings,London,2 adults,One chil,Male,Owned,1
80.55,166.872,other so,West Mid,1 adult,No child,Female,Owned,1
519.2161,774.155,earnings,North Ea,2 adults,Two or m,Female,Owned,1
509.06800000000004,1184.99,earnings,South Ea,2 adults,No child,Male,Owned,1
100.11,125.85,other so,North We,1 adult,No child,Female,Public r,0
130.7728,98.77,earnings,London,1 adult,One chil,Female,Public r,1
760.3503,1184.99,earnings,London,2 adults,One chil,Female,Owned,1
373.7213,720.045,earnings,West Mid,1 adult,No child,Female,Owned,1
522.4944,983.26,earnings,West Mid,2 adults,No child,Female,Owned,1
886.0622,1039.22,earnings,North We,3 adults,No child,Male,Owned,1
629.6903,1184.99,other so,Yorkshir,1 adult,No child,Female,Private,1
546.4728,572.17,earnings,North We,3 adults,One chil,Male,Public r,1
578.8818,807.46,earnings,South Ea,2 adults,Two or m,Male,Owned,1
727.3528,609.794,other so,Scotland,2 adults,No child,Male,Owned,1
92.89,149.25,other so,North We,1 adult,No child,Male,Public r,0
253.168,332.467,other so,East Mid,1 adult,No child,Female,Public r,0
907.9145,1184.99,earnings,Yorkshir,2 adults,Two or m,Male,Owned,1
260.814,184.2695,other so,North We,1 adult,No child,Male,Private,1
1098.506,1184.99,earnings,West Mid,2 adults,One chil,Female,Private,1
192.829,242.33,earnings,Eastern,1 adult,No child,Male,Public r,1
40.15,88.81200000000001,other so,West Mid,1 adult,No child,Female,Owned,0
957.433,901.7,earnings,North Ea,3 adults,No child,Male,Owned,1
317.3796,244.764,other so,North Ea,2 adults,No child,Male,Public r,1
635.6094,1150.13,earnings,North We,2 adults,No child,Female,Owned,1
582.4908,355.11,other so,Scotland,2 adults,No child,Male,Owned,1
241.9369,736.58,earnings,East Mid,2 adults,No child,Male,Owned,1
249.8769,417.42,earnings,South Ea,1 adult,No child,Male,Owned,1
286.0922,386.73199999999997,earnings,Yorkshir,2 adults,No child,Male,Owned,1
320.2093,465.62,earnings,West Mid,3 adults,One chil,Male,Owned,1
253.7463,577.7475,earnings,South Ea,1 adult,No child,Male,Owned,0
558.1736,1118.49,earnings,West Mid,2 adults,One chil,Male,Owned,1
460.4376,392.8,other so,London,2 adults,No child,Female,Owned,0
269.4688,373.22,earnings,Yorkshir,2 adults,No child,Female,Owned,1
88.47516,227.6,other so,South Ea,1 adult,No child,Male,Owned,1
478.96,627.2675,other so,North Ea,1 adult,No child,Female,Owned,1
81.96,90.19,other so,North Ea,1 adult,No child,Female,Owned,0
492.0422,749.1,earnings,Wales,2 adults,Two or m,Male,Owned,1
458.3371,578.639,other so,North We,2 adults,No child,Male,Owned,1
311.9248,359.914,other so,East Mid,2 adults,No child,Male,Owned,1
187.305,119.1,other so,West Mid,1 adult,Two or m,Male,Public r,1
237.9209,525.0945,earnings,West Mid,2 adults,No child,Male,Owned,0
684.0958,711.58,earnings,South Ea,2 adults,No child,Male,Owned,1
530.3437,1166.64,earnings,Wales,2 adults,Two or m,Male,Owned,1
1175.0,581.135,earnings,North We,2 adults,Two or m,Male,Owned,1
588.7463,1154.31,earnings,Eastern,2 adults,Two or m,Male,Owned,1
488.6531,759.93,earnings,Scotland,2 adults,One chil,Female,Owned,1
1175.0,1184.99,earnings,Eastern,2 adults,No child,Female,Owned,1
218.725,290.8,earnings,Northern,1 adult,No child,Male,Private,1
508.9342,1184.99,earnings,London,2 adults,No child,Male,Owned,1
481.3277,1072.05,earnings,East Mid,2 adults,Two or m,Male,Owned,1
323.5245,285.302,other so,South Ea,2 adults,No child,Female,Owned,1
359.515,121.0,other so,North We,1 adult,One chil,Male,Public r,1
156.4675,159.2045,other so,Eastern,1 adult,No child,Female,Owned,0
719.3469,739.3559,earnings,Eastern,2 adults,Two or m,Male,Public r,1
478.4545,235.9,earnings,Eastern,2 adults,No child,Female,Public r,1
555.7606,473.0665,other so,North We,2 adults,No child,Male,Owned,1
914.9825,1160.53,earnings,East Mid,2 adults,One chil,Male,Owned,1
603.361,975.12,earnings,Yorkshir,2 adults,No child,Male,Owned,1
635.7444,857.9359,earnings,South Ea,2 adults,No child,Female,Private,1
259.4026,282.45,other so,North We,1 adult,No child,Male,Owned,1
783.5162,883.9,earnings,South Ea,2 adults,Two or m,Male,Public r,1
558.4922,914.13,earnings,Eastern,3 adults,No child,Female,Private,1
124.06,297.004,other so,Yorkshir,2 adults,No child,Female,Public r,0
456.2135,521.555,earnings,London,1 adult,No child,Male,Private,1
113.365,140.52200000000002,other so,Eastern,1 adult,No child,Female,Public r,0
498.767,1184.99,earnings,South We,2 adults,Two or m,Female,Private,1
1107.371,1184.99,earnings,Scotland,3 adults,No child,Female,Owned,1
232.6001,303.122,other so,Yorkshir,1 adult,One chil,Female,Owned,1
613.7686,767.06,earnings,South We,2 adults,Two or m,Male,Owned,1
47.55238,145.002,other so,Scotland,1 adult,No child,Female,Public r,0
173.4803,304.592,other so,North Ea,1 adult,No child,Female,Owned,1
74.50735,166.352,other so,Yorkshir,1 adult,No child,Female,Public r,0
301.55,238.12400000000002,other so,West Mid,2 adults,No child,Male,Owned,1
202.8444,254.33700000000002,other so,South We,1 adult,No child,Female,Owned,1
1144.502,1153.61,earnings,Wales,2 adults,Two or m,Female,Owned,1
653.1855,1184.99,earnings,Eastern,3 adults,No child,Male,Owned,1
755.8123,622.13,earnings,East Mid,2 adults,No child,Male,Private,1
120.925,150.2375,other so,Northern,1 adult,No child,Male,Public r,0
753.6313,1184.99,earnings,London,2 adults,One chil,Female,Owned,1
429.4743,714.1419999999999,earnings,West Mid,2 adults,Two or m,Female,Owned,1
62.9,150.86,other so,East Mid,1 adult,No child,Female,Public r,0
285.8062,153.9972,earnings,West Mid,2 adults,No child,Female,Private,1
318.8284,476.04,earnings,Eastern,2 adults,No child,Female,Public r,1
765.7105,987.025,earnings,South Ea,2 adults,No child,Male,Owned,1
743.9388,1184.99,earnings,South Ea,2 adults,Two or m,Male,Owned,1
274.6295,359.7215,other so,South We,2 adults,No child,Male,Owned,1
251.38,222.98,other so,South Ea,2 adults,No child,Female,Owned,1
244.78,241.53,other so,South Ea,1 adult,Two or m,Female,Private,1
521.6279,1184.99,earnings,North We,2 adults,One chil,Female,Owned,1
379.0724,470.54,earnings,South We,2 adults,One chil,Male,Private,1
856.8724,1184.99,earnings,West Mid,2 adults,One chil,Male,Owned,1
408.1825,310.96,earnings,Eastern,1 adult,No child,Female,Owned,1
426.3816,846.442,earnings,North We,3 adults,No child,Male,Public r,1
712.7056,1184.99,earnings,South Ea,2 adults,Two or m,Male,Owned,1
161.19799999999998,208.472,other so,Scotland,1 adult,No child,Female,Owned,1
147.57,142.5,other so,London,1 adult,No child,Male,Public r,1
502.4033,695.485,earnings,London,1 adult,No child,Male,Private,1
687.5327,1169.67,earnings,South Ea,2 adults,No child,Male,Private,1
1175.0,1184.99,earnings,West Mid,2 adults,Two or m,Male,Owned,1
261.1458,283.7,earnings,London,3 adults,Two or m,Female,Owned,1
1175.0,1184.99,earnings,South Ea,3 adults,Two or m,Female,Owned,1
1079.191,1039.59,earnings,Scotland,2 adults,Two or m,Male,Owned,1
1175.0,1184.99,other so,South Ea,2 adults,No child,Male,Owned,1
211.085,268.224,other so,London,2 adults,No child,Male,Owned,0
474.6659,220.0,earnings,East Mid,2 adults,No child,Male,Private,1
213.2975,71.0,other so,London,1 adult,No child,Female,Private,1
261.0981,499.53,other so,Scotland,2 adults,No child,Male,Owned,1
382.8197,268.95,other so,West Mid,1 adult,One chil,Female,Private,1
870.895,1070.62,earnings,London,2 adults,No child,Female,Private,1
434.756,684.67,earnings,Eastern,3 adults,No child,Male,Private,1
510.2779,957.0,earnings,Eastern,1 adult,No child,Male,Private,1
83.66243,166.042,other so,Scotland,1 adult,No child,Female,Public r,0
378.6069,444.95,other so,Northern,3 adults,Two or m,Female,Public r,1
100.8402,257.53700000000003,other so,West Mid,1 adult,No child,Female,Owned,0
425.4799,961.21,earnings,South Ea,2 adults,No child,Male,Owned,1
134.491,169.922,other so,South Ea,1 adult,No child,Female,Private,0
1175.0,1184.99,earnings,North Ea,2 adults,No child,Male,Owned,1
364.665,424.29400000000004,earnings,North We,3 adults,No child,Male,Public r,1
432.625,294.47,other so,London,2 adults,One chil,Male,Private,1
170.2079,347.287,other so,Scotland,1 adult,No child,Female,Owned,1
671.9921,1127.256,earnings,Scotland,2 adults,Two or m,Female,Owned,1
222.7299,390.344,other so,Eastern,2 adults,No child,Male,Owned,1
603.6293,585.89,earnings,Wales,2 adults,No child,Male,Owned,1
742.2437,485.4345,other so,Yorkshir,1 adult,No child,Female,Owned,0
753.2294,576.7175,earnings,South We,2 adults,Two or m,Male,Owned,1
681.1139999999999,751.95,earnings,South Ea,1 adult,Two or m,Female,Owned,1
557.0366,1184.99,earnings,South Ea,4 and mo,No child,Female,Owned,1
1072.133,1184.99,earnings,South Ea,2 adults,Two or m,Male,Private,1
380.0908,926.68,earnings,Wales,2 adults,No child,Male,Private,1
939.5729,331.0025,earnings,Yorkshir,2 adults,No child,Male,Owned,1
512.8389,838.5125,earnings,East Mid,2 adults,Two or m,Male,Owned,1
633.4371,928.76,earnings,North Ea,2 adults,One chil,Female,Owned,1
321.9284,566.44,earnings,Wales,2 adults,No child,Female,Owned,1
309.225,132.755,other so,East Mid,1 adult,No child,Female,Owned,0
84.535,153.872,other so,Yorkshir,1 adult,No child,Female,Public r,1
780.1060000000001,346.565,other so,Yorkshir,1 adult,No child,Female,Owned,1
349.7092,785.65,earnings,Yorkshir,1 adult,No child,Male,Owned,1
931.1469,310.85,other so,South Ea,2 adults,No child,Male,Owned,1
1175.0,1184.99,earnings,Scotland,2 adults,No child,Male,Owned,1
534.0067,908.5025,earnings,London,2 adults,One chil,Male,Owned,1
902.7957,1184.99,earnings,Wales,2 adults,Two or m,Male,Owned,1
298.735,317.642,earnings,Eastern,2 adults,No child,Female,Public r,1
100.1,165.132,other so,South We,1 adult,No child,Male,Owned,0
474.71,347.2174,earnings,South We,1 adult,No child,Female,Owned,1
461.8464,682.42,earnings,Wales,4 and mo,No child,Female,Owned,1
491.4295,1184.99,earnings,South We,1 adult,No child,Female,Owned,1
256.5602,217.31,other so,London,2 adults,No child,Male,Owned,1
277.1663,404.68,earnings,Yorkshir,1 adult,No child,Male,Owned,1
264.8442,322.884,other so,Eastern,2 adults,No child,Male,Owned,1
269.23,123.512,other so,North We,1 adult,No child,Female,Owned,1
748.3014,1026.5919999999999,other so,Eastern,2 adults,No child,Male,Owned,1
290.6105,447.17,earnings,North We,1 adult,No child,Male,Owned,1
605.325,562.11,earnings,Northern,2 adults,No child,Female,Owned,1
1175.0,940.0759,earnings,North We,2 adults,No child,Female,Owned,1
430.92900000000003,923.49,earnings,London,2 adults,One chil,Male,Owned,1
472.8084,556.085,earnings,Wales,2 adults,No child,Male,Private,0
372.7681,710.9425,earnings,Eastern,2 adults,No child,Male,Public r,0
249.9204,331.25,earnings,Yorkshir,1 adult,No child,Female,Owned,1
498.375,474.69,other so,East Mid,1 adult,Two or m,Female,Owned,1
836.4187,1184.99,earnings,South Ea,2 adults,Two or m,Male,Owned,1
516.0851,370.92,earnings,East Mid,2 adults,One chil,Male,Private,1
237.6573,742.824,other so,South We,2 adults,No child,Male,Owned,0
453.5395,626.2875,earnings,London,2 adults,Two or m,Male,Private,1
515.8589,983.02,earnings,London,2 adults,No child,Female,Private,1
965.4978,1184.99,earnings,Yorkshir,2 adults,No child,Male,Owned,1
500.1991,771.42,earnings,London,2 adults,Two or m,Male,Public r,1
157.05,416.292,other so,West Mid,1 adult,Two or m,Female,Private,1
198.0019,158.52,other so,Yorkshir,1 adult,No child,Female,Owned,0
325.0745,268.54,other so,London,2 adults,One chil,Female,Public r,1
425.6518,443.27,earnings,London,1 adult,One chil,Female,Private,1
536.3375,877.42,other so,North We,2 adults,No child,Male,Owned,1
281.9645,456.83,earnings,Wales,1 adult,One chil,Female,Owned,1
398.6749,784.7313,earnings,Scotland,3 adults,No child,Female,Public r,1
333.2706,257.8625,other so,North We,2 adults,No child,Male,Owned,1
330.8176,304.1008,other so,Eastern,1 adult,One chil,Female,Private,1
514.1887,596.01,earnings,South Ea,2 adults,No child,Male,Owned,1
359.8841,445.35,earnings,Scotland,1 adult,No child,Male,Private,1
390.1822,420.07,earnings,North We,2 adults,One chil,Male,Public r,1
541.2854,1117.19,earnings,South We,2 adults,Two or m,Female,Owned,1
1175.0,1184.99,earnings,Eastern,3 adults,No child,Male,Owned,1
386.2694,611.93,earnings,North We,2 adults,No child,Female,Public r,1
182.8183,194.52200000000002,other so,Scotland,1 adult,No child,Female,Owned,0
400.7621,718.01,earnings,London,1 adult,No child,Male,Owned,1
364.0712,932.18,earnings,Yorkshir,3 adults,One chil,Male,Owned,1
230.7148,403.0,earnings,Wales,2 adults,No child,Female,Owned,1
990.8331,1184.99,earnings,South We,2 adults,Two or m,Male,Owned,1
204.7202,342.224,other so,North We,2 adults,No child,Male,Owned,1
486.4067,580.11,earnings,North Ea,2 adults,No child,Female,Public r,0
151.7984,456.2125,earnings,South Ea,1 adult,No child,Male,Owned,0
164.78400000000002,306.06,earnings,Wales,1 adult,No child,Male,Owned,1
451.0747,1018.32,earnings,South We,2 adults,Two or m,Male,Owned,1
183.225,358.582,other so,Eastern,1 adult,No child,Female,Private,0
511.4269,715.934,other so,East Mid,2 adults,No child,Female,Owned,1
600.5873,859.2739999999999,earnings,North We,4 and mo,No child,Male,Owned,1
64.88,73.67,other so,Eastern,1 adult,One chil,Female,Public r,0
381.5572,618.49,earnings,North We,2 adults,No child,Male,Owned,1
186.0927,194.457,other so,Scotland,1 adult,No child,Female,Owned,0
180.5035,160.0,earnings,East Mid,1 adult,No child,Male,Public r,1
934.6581,1094.81,earnings,South Ea,2 adults,No child,Male,Owned,1
221.315,121.0,other so,Eastern,2 adults,No child,Female,Private,0
682.45,1138.475,earnings,South Ea,2 adults,Two or m,Male,Owned,1
354.0959,677.0045,other so,South We,1 adult,No child,Female,Owned,0
97.32373,177.982,other so,Scotland,2 adults,Two or m,Female,Public r,0
805.2849,971.6236,earnings,South We,2 adults,Two or m,Female,Owned,1
276.2479,299.26,earnings,South Ea,1 adult,No child,Female,Public r,0
300.3863,677.56,earnings,North Ea,1 adult,One chil,Female,Owned,1
405.79900000000004,717.34,earnings,North We,3 adults,No child,Male,Owned,1
510.4764,772.19,earnings,North Ea,2 adults,One chil,Female,Owned,1
1094.514,1184.99,earnings,Eastern,2 adults,One chil,Male,Private,1
240.2365,1184.99,earnings,Scotland,3 adults,No child,Male,Owned,1
875.4107,1184.99,earnings,North We,2 adults,Two or m,Male,Owned,1
239.5174,228.06,other so,Eastern,1 adult,No child,Female,Public r,0
1175.0,1006.89,earnings,Northern,4 and mo,One chil,Female,Owned,1
190.07299999999998,439.05199999999996,other so,Scotland,1 adult,No child,Male,Owned,1
245.4085,372.53,earnings,Yorkshir,1 adult,No child,Female,Public r,0
207.6363,273.6,other so,Yorkshir,2 adults,No child,Male,Owned,0
793.9646,740.5169999999999,other so,Scotland,1 adult,No child,Female,Owned,0
105.18,201.85,other so,North Ea,1 adult,No child,Female,Owned,1
189.7315,254.0,other so,North We,1 adult,Two or m,Female,Public r,1
376.699,223.71400000000003,other so,North We,2 adults,No child,Male,Owned,1
657.6737,623.315,earnings,North We,2 adults,No child,Female,Private,1
99.56711999999999,208.52200000000002,other so,Scotland,1 adult,No child,Female,Public r,0
479.6125,859.15,earnings,East Mid,2 adults,Two or m,Male,Private,1
352.5463,780.962,other so,North We,2 adults,No child,Female,Owned,1
112.0194,259.082,other so,South We,1 adult,No child,Male,Owned,1
1175.0,1184.99,earnings,London,2 adults,No child,Male,Owned,1
763.5004,1184.99,earnings,South Ea,2 adults,No child,Male,Owned,1
437.0802,554.7845,other so,South We,2 adults,No child,Male,Owned,0
83.79176,71.7,other so,Eastern,1 adult,No child,Male,Public r,0
391.8083,552.5772,earnings,South Ea,2 adults,One chil,Male,Owned,1
549.4274,732.6619999999999,earnings,North We,2 adults,Two or m,Male,Public r,1
351.586,888.3,earnings,East Mid,3 adults,One chil,Male,Owned,1
1175.0,1107.756,other so,South Ea,3 adults,No child,Male,Owned,1
720.2249,1184.99,earnings,South Ea,2 adults,No child,Male,Owned,1
92.57,72.35,other so,West Mid,1 adult,No child,Female,Private,1
518.1297,810.265,earnings,East Mid,2 adults,One chil,Female,Owned,1
572.7278,473.19,earnings,North We,1 adult,No child,Male,Owned,1
572.6495,1005.285,earnings,South Ea,1 adult,No child,Female,Private,1
723.2292,607.195,earnings,London,1 adult,No child,Male,Owned,1
277.868,682.71,earnings,North We,1 adult,No child,Male,Private,1
1175.0,1184.99,earnings,South Ea,4 and mo,No child,Female,Private,1
97.92,149.922,other so,North Ea,1 adult,No child,Female,Public r,0
310.0531,391.2645,other so,East Mid,1 adult,No child,Female,Owned,1
140.2472,236.92700000000002,other so,South Ea,1 adult,No child,Female,Owned,0
411.3448,1184.99,earnings,London,1 adult,No child,Male,Owned,1
181.6714,513.3919999999999,other so,North We,1 adult,No child,Female,Owned,1
472.9779,556.3165,other so,Eastern,2 adults,No child,Male,Owned,1
150.5078,226.07,other so,West Mid,1 adult,No child,Female,Public r,1
338.6213,532.14,other so,Eastern,2 adults,Two or m,Female,Owned,1
150.6561,275.152,other so,South We,1 adult,No child,Male,Owned,1
267.5757,453.52,other so,Yorkshir,1 adult,No child,Male,Owned,0
1175.0,1184.99,earnings,London,4 and mo,No child,Male,Owned,1
373.0486,454.12,earnings,South We,1 adult,Two or m,Female,Owned,1
506.7912,598.64,earnings,Yorkshir,1 adult,No child,Female,Private,1
174.157,548.224,other so,North We,2 adults,No child,Male,Owned,0
124.8411,100.0,earnings,Yorkshir,1 adult,No child,Male,Private,0
414.4203,880.64,earnings,Scotland,2 adults,No child,Male,Owned,1
260.1432,184.4695,other so,South We,1 adult,No child,Female,Owned,0
522.5452,351.08,other so,South Ea,1 adult,No child,Male,Private,1
317.6621,245.77,other so,North We,2 adults,One chil,Female,Private,1
396.245,419.61,earnings,South We,2 adults,Two or m,Male,Private,1
528.8144,899.7239999999999,other so,South Ea,2 adults,No child,Male,Owned,1
421.3611,590.2,other so,London,2 adults,Two or m,Male,Private,1
757.4272,953.11,earnings,South Ea,2 adults,Two or m,Male,Owned,1
184.9274,145.2,other so,East Mid,1 adult,No child,Female,Owned,0
266.0584,527.322,other so,East Mid,2 adults,No child,Male,Owned,1
108.2543,148.85,other so,West Mid,1 adult,No child,Male,Private,0
109.81,346.0,other so,West Mid,2 adults,Two or m,Male,Public r,1
364.215,919.0,earnings,Northern,2 adults,No child,Female,Private,1
707.9349,1184.99,earnings,Scotland,2 adults,No child,Male,Owned,1
403.1166,642.8077,earnings,East Mid,2 adults,One chil,Male,Owned,1
114.9823,200.0,earnings,North Ea,1 adult,No child,Male,Owned,0
229.6329,528.97,earnings,West Mid,2 adults,No child,Male,Owned,1
730.78,1005.635,other so,East Mid,2 adults,No child,Male,Owned,1
415.7044,382.1,other so,Wales,2 adults,Two or m,Male,Private,1
242.4832,141.635,earnings,Scotland,2 adults,No child,Male,Private,1
862.7454,1184.99,earnings,Yorkshir,2 adults,No child,Male,Owned,1
1136.2169999999999,92.31,earnings,West Mid,2 adults,No child,Male,Owned,1
351.5328,323.89,other so,North Ea,1 adult,Two or m,Female,Private,1
558.04,1073.177,other so,South Ea,4 and mo,No child,Male,Private,1
785.4186,938.53,earnings,Scotland,2 adults,Two or m,Male,Owned,1
284.9927,433.292,other so,London,1 adult,No child,Male,Owned,1
310.0396,558.07,other so,South Ea,2 adults,No child,Male,Owned,1
416.7434,632.5036,earnings,South Ea,2 adults,One chil,Male,Owned,1
811.5364,1055.7,earnings,East Mid,2 adults,Two or m,Male,Owned,1
201.446,341.80400000000003,other so,West Mid,2 adults,No child,Male,Owned,0
319.4747,602.73,other so,East Mid,2 adults,No child,Male,Owned,1
838.0516,1184.99,earnings,North We,2 adults,One chil,Male,Owned,1
297.88,474.224,other so,West Mid,2 adults,No child,Male,Public r,0
403.3082,638.5,earnings,North We,2 adults,Two or m,Male,Owned,1
88.72176,260.772,other so,North We,1 adult,No child,Female,Owned,0
228.0186,502.07,earnings,North We,2 adults,One chil,Female,Public r,1
403.7321,660.66,earnings,North We,1 adult,No child,Female,Owned,1
1175.0,1184.99,other so,Eastern,4 and mo,No child,Male,Owned,1
381.9504,456.54,earnings,West Mid,1 adult,Two or m,Female,Public r,1
777.8522,1184.99,earnings,South We,2 adults,No child,Male,Owned,1
1095.471,1184.99,earnings,London,2 adults,One chil,Male,Private,1
454.865,315.71,earnings,Northern,2 adults,Two or m,Female,Private,0
273.4366,306.3095,other so,South We,1 adult,No child,Female,Owned,1
831.6194,874.86,earnings,Yorkshir,1 adult,Two or m,Female,Owned,1
1175.0,822.98,earnings,Eastern,3 adults,One chil,Male,Owned,1
491.8717,703.885,earnings,Scotland,2 adults,One chil,Male,Private,0
455.53,679.362,earnings,London,2 adults,No child,Male,Private,1
231.37,194.15,other so,North Ea,1 adult,One chil,Female,Public r,1
485.3951,805.445,earnings,East Mid,2 adults,No child,Female,Owned,1
100.335,129.85,other so,Wales,1 adult,No child,Female,Owned,0
77.8245,69.0,other so,Scotland,1 adult,No child,Female,Public r,0
299.916,170.23,other so,North Ea,1 adult,No child,Female,Owned,0
143.3986,222.29,other so,Wales,2 adults,No child,Male,Owned,1
272.36,143.1995,other so,Northern,1 adult,No child,Female,Private,0
865.775,1092.64,earnings,Eastern,4 and mo,No child,Male,Owned,1
249.6781,192.3125,other so,South Ea,1 adult,No child,Female,Owned,1
828.0905,1184.99,earnings,East Mid,3 adults,No child,Male,Owned,1
164.1149,195.75,earnings,East Mid,1 adult,No child,Female,Owned,1
1175.0,836.64,other so,South We,4 and mo,No child,Male,Private,1
550.734,1020.03,earnings,East Mid,2 adults,No child,Male,Owned,1
134.5304,202.2775,earnings,Eastern,1 adult,No child,Female,Owned,1
329.165,1184.99,earnings,East Mid,2 adults,No child,Female,Owned,1
164.4375,601.03,other so,Eastern,1 adult,No child,Female,Owned,0
72.145,152.02700000000002,other so,Eastern,1 adult,No child,Female,Public r,0
421.8089,664.95,earnings,East Mid,1 adult,No child,Male,Owned,0
1175.0,1184.99,earnings,London,2 adults,Two or m,Female,Owned,1
813.6065,1184.99,earnings,London,2 adults,Two or m,Male,Owned,1
370.7469,1184.99,earnings,North We,4 and mo,No child,Male,Owned,1
156.119,133.0,earnings,Eastern,1 adult,No child,Female,Owned,1
319.6658,813.695,earnings,East Mid,3 adults,No child,Male,Public r,0
356.5516,605.77,earnings,South Ea,1 adult,No child,Female,Owned,1
76.615,184.21,other so,West Mid,1 adult,No child,Male,Public r,0
217.4087,259.24,other so,Yorkshir,1 adult,No child,Female,Owned,1
790.4709,1184.99,earnings,South We,2 adults,No child,Male,Owned,1
219.3925,198.96200000000002,other so,Yorkshir,1 adult,One chil,Male,Public r,0
828.4675,1184.99,earnings,South Ea,2 adults,One chil,Male,Owned,1
492.0747,458.642,other so,Wales,3 adults,Two or m,Female,Owned,1
